Line No.  LEXEME    (TOKEN-TYPE) 	ATTRIBUTE 

0         program   	14  (PROGRAM) 	0        ( program )
0         goner     	42  (ID)      	5081352  ( id )
0         (         	140 (OPN_PAR) 	0        ( ( )
0         Ecuadorian 	42  (ID)      	5082424  ( id )
0         )         	145 (CLS_PAR) 	0        ( ) )
0         ;         	110 (SEMI)    	0        ( ; )
0         var       	1   (VAR)     	0        ( var )
0         planners  	42  (ID)      	5083864  ( id )
0         :         	109 (COLON)   	0        ( : )
0         array     	2   (ARY)     	0        ( array )
0         [         	120 (OPN_BRAC) 	0        ( [ )
0         0         	45  (INT)     	0        ( num )
0         ..        	105 (DOTDOT)  	0        ( .. )
0         0         	45  (INT)     	0        ( num )
0         ]         	130 (CLS_BRAC) 	0        ( ] )
0         of        	3   (OF)      	0        ( of )
0         real      	16  (REAL)    	0        ( real )
1         ;         	110 (SEMI)    	0        ( ; )
1         procedure 	5   (PROC)    	0        ( procedure )
1         yourself  	42  (ID)      	5086776  ( id )
1         (         	140 (OPN_PAR) 	0        ( ( )
1         deflate   	42  (ID)      	5087848  ( id )
1         :         	109 (COLON)   	0        ( : )
1         integer   	15  (INT)     	0        ( integer )
1         ;         	110 (SEMI)    	0        ( ; )
1         mutations 	42  (ID)      	5089288  ( id )
1         :         	109 (COLON)   	0        ( : )
1         array     	2   (ARY)     	0        ( array )
1         [         	120 (OPN_BRAC) 	0        ( [ )
1         7786      	45  (INT)     	0        ( num )
1         ..        	105 (DOTDOT)  	0        ( .. )
2         810.2e56  	45  (REAL)    	1        ( num )
2         ]         	130 (CLS_BRAC) 	0        ( ] )
2         of        	3   (OF)      	0        ( of )
2         real      	16  (REAL)    	0        ( real )
2         ;         	110 (SEMI)    	0        ( ; )
2         hitchhiked 	42  (ID)      	5092016  ( id )
2         :         	109 (COLON)   	0        ( : )
2         integer   	15  (INT)     	0        ( integer )
2         ;         	110 (SEMI)    	0        ( ; )
2         grind     	42  (ID)      	5093456  ( id )
2         :         	109 (COLON)   	0        ( : )
2         integer   	15  (INT)     	0        ( integer )
2         ;         	110 (SEMI)    	0        ( ; )
2         pack      	42  (ID)      	5094896  ( id )
2         :         	109 (COLON)   	0        ( : )
3         real      	16  (REAL)    	0        ( real )
3         ;         	110 (SEMI)    	0        ( ; )
3         meted     	42  (ID)      	5096344  ( id )
3         :         	109 (COLON)   	0        ( : )
3         array     	2   (ARY)     	0        ( array )
3         [         	120 (OPN_BRAC) 	0        ( [ )
3         7.2       	45  (REAL)    	2        ( num )
3         ..        	105 (DOTDOT)  	0        ( .. )
3         0         	45  (INT)     	0        ( num )
3         ]         	130 (CLS_BRAC) 	0        ( ] )
3         of        	3   (OF)      	0        ( of )
3         integer   	15  (INT)     	0        ( integer )
3         )         	145 (CLS_PAR) 	0        ( ) )
3         ;         	110 (SEMI)    	0        ( ; )
3         var       	1   (VAR)     	0        ( var )
3         crosses   	42  (ID)      	5099440  ( id )
3         :         	109 (COLON)   	0        ( : )
3         real      	16  (REAL)    	0        ( real )
3         ;         	110 (SEMI)    	0        ( ; )
4         begin     	6   (BEGIN)   	0        ( begin )
4         begin     	6   (BEGIN)   	0        ( begin )
4         call      	4   (CALL)    	0        ( call )
4         asserter  	42  (ID)      	5101432  ( id )
4         ;         	110 (SEMI)    	0        ( ; )
4         while     	11  (WHILE)   	0        ( while )
4         (         	140 (OPN_PAR) 	0        ( ( )
4         Bourbaki  	42  (ID)      	5102872  ( id )
4         div       	32  (DIV)     	2        ( mulop )
4         (         	140 (OPN_PAR) 	0        ( ( )
4         not       	13  (NOT)     	0        ( not )
4         attic     	42  (ID)      	5104312  ( id )
